tool,nthreads,size,repetitions,usec
Pthreads,1,1000000,2000,6124071
Pthreads,1,1000000,2000,6132514
Pthreads,1,1000000,2000,6118749
Pthreads,1,1000000,2000,6376474
Pthreads,2,500000,2000,3657423
Pthreads,2,500000,2000,3684126
Pthreads,2,500000,2000,3460531
Pthreads,2,500000,2000,3490855
Pthreads,4,250000,2000,2457768
Pthreads,4,250000,2000,2462666
Pthreads,4,250000,2000,2463546
Pthreads,4,250000,2000,2493198
Pthreads,1,1000000,3000,9201440
Pthreads,1,1000000,3000,9204275
Pthreads,1,1000000,3000,9208363
Pthreads,1,1000000,3000,9190422
Pthreads,2,500000,3000,5195728
Pthreads,2,500000,3000,5197733
Pthreads,2,500000,3000,5290851
Pthreads,2,500000,3000,5292805
Pthreads,4,250000,3000,3707179
Pthreads,4,250000,3000,3700331
Pthreads,4,250000,3000,3679535
Pthreads,4,250000,3000,3693324
Pthreads,1,1000000,4000,12281225
Pthreads,1,1000000,4000,12275655
Pthreads,1,1000000,4000,12291203
Pthreads,1,1000000,4000,12456584
Pthreads,2,500000,4000,6920870
Pthreads,2,500000,4000,7026737
Pthreads,2,500000,4000,6876764
Pthreads,2,500000,4000,6949791
Pthreads,4,250000,4000,4898745
Pthreads,4,250000,4000,4958330
Pthreads,4,250000,4000,4898251
Pthreads,4,250000,4000,4903255
